created_at,date,user_id,username,name,tweet,link,POS tagged
1593475164000.0,2020-06-30 06:59:24,558397223,JenderalAD,Giring,           semua berawal dari sini     untung ada anies    semua terbukti bahkan psbb pun diikuti kepala  daerah yg lain      ,https://twitter.com/JenderalAD/status/1277753568313765889,"[('untung', 'n'), ('anies', 'n'), ('terbukti', None), ('psbb', 'n'), ('diikuti', 'n'), ('kepala', 'n'), ('daerah', 'n'), ('yg', 'n')]"
1593475101000.0,2020-06-30 06:58:21,109555488,703_BK,Phoenix, psbb  lip  ,https://twitter.com/703_BK/status/1277753303028264961,"[('psbb', 'n'), ('lip', 'n')]"
1593475001000.0,2020-06-30 06:56:41,74983930,bangjeck,bang jeck, ya elaahhh  dia yg ambil keputusan stop psbb koq  makanya surabaya zona hitam  skrg nangis   pemimpin koq emosionil gitu,https://twitter.com/bangjeck/status/1277752881408434176,"[('ya', 'n'), ('elaahhh', None), ('yg', 'n'), ('ambil', 'n'), ('keputusan', None), ('stop', 'n'), ('psbb', 'n'), ('koq', 'n'), ('surabaya', 'n'), ('zona', 'n'), ('hitam', 'n'), ('skrg', 'n'), ('nangis', None), ('pemimpin', 'n'), ('koq', 'n'), ('emosionil', 'n'), ('gitu', 'n')]"
1593473976000.0,2020-06-30 06:39:36,1187000254022860801,PolsekPusat,Polsek Cikarang Pusat,sentuh waralaba  piket sabhara polsek cikarang pusat patroli ke sentra ekonomo  pemukiman antisipasi pencurian rumsong  waralaba   c dan himbauan psbb       waktu  hari selasa tanggal    juni       jam         ,https://twitter.com/PolsekPusat/status/1277748583031341056,"[('sentuh', 'n'), ('waralaba', 'n'), ('piket', 'n'), ('sabhara', 'n'), ('polsek', 'n'), ('cikarang', 'n'), ('pusat', 'v'), ('patroli', None), ('sentra', None), ('ekonomo', 'n'), ('pemukiman', 'n'), ('antisipasi', 'n'), ('pencurian', None), ('rumsong', 'n'), ('waralaba', 'n'), ('c', 'v'), ('himbauan', None), ('psbb', 'n'), ('selasa', None), ('tanggal', None), ('juni', 'n'), ('jam', 'n')]"
1593473902000.0,2020-06-30 06:38:22,78544110,SamsulImamSy,Samsul Imam Syafii,  ga onok petugas sing menertibkan  atau mmg blm ada aturan pasca psbb berakhir  dadi tdk ada landasan hukum pol pp menegur   ,https://twitter.com/SamsulImamSy/status/1277748272925298689,"[('ga', 'n'), ('onok', 'n'), ('petugas', 'n'), ('sing', 'v'), ('menertibkan', None), ('mmg', 'n'), ('blm', 'n'), ('aturan', 'v'), ('pasca', None), ('psbb', 'n'), ('dadi', 'n'), ('tdk', None), ('landasan', None), ('hukum', 'n'), ('pol', 'n'), ('pp', 'n'), ('menegur', 'n')]"
1593473789000.0,2020-06-30 06:36:29,388190238,idntimes,IDN Times,gubernur banten perpanjang psbb sampai nol kasus covid       ,https://twitter.com/idntimes/status/1277747798990114817,"[('gubernur', 'n'), ('banten', 'n'), ('perpanjang', 'n'), ('psbb', 'n'), ('nol', None), ('covid', 'n')]"
1593473725000.0,2020-06-30 06:35:25,1187000254022860801,PolsekPusat,Polsek Cikarang Pusat,padal gabung patko     melaksanakan giat patroli mobile  patroli sentra ekonomo  pemukiman antisipasi pencurian rumsong  waralaba   c dan himbauan psbb       waktu  hari selasa tanggal    juni       jam         ,https://twitter.com/PolsekPusat/status/1277747532676755457,"[('padal', 'n'), ('gabung', 'n'), ('patko', 'n'), ('melaksanakan', 'n'), ('giat', 'n'), ('patroli', 'v'), ('mobile', None), ('patroli', 'n'), ('sentra', None), ('ekonomo', 'n'), ('pemukiman', 'n'), ('antisipasi', 'n'), ('pencurian', None), ('rumsong', 'n'), ('waralaba', 'n'), ('c', 'v'), ('himbauan', None), ('psbb', 'n'), ('selasa', None), ('tanggal', None), ('juni', 'n'), ('jam', 'n')]"
1593473724000.0,2020-06-30 06:35:24,1597798873,wandaauliaaa,wanda., tpi dibnjr ampih lo psbb  dikapuas masih tpi orgnya keluaran dah ,https://twitter.com/wandaauliaaa/status/1277747528855719937,"[('tpi', 'n'), ('dibnjr', 'n'), ('ampih', 'n'), ('lo', 'n'), ('psbb', 'n'), ('dikapuas', 'n'), ('tpi', 'n'), ('orgnya', 'n'), ('keluaran', 'v'), ('dah', 'n')]"
1593473435000.0,2020-06-30 06:30:35,132400992,_chocomatcha,Mei,bjb masih psbb kah yo  ,https://twitter.com/_chocomatcha/status/1277746313740742656,"[('bjb', 'n'), ('psbb', 'n'), ('kah', 'n'), ('yo', 'n')]"
1593473343000.0,2020-06-30 06:29:03,18129942,tempodotco,tempo.co,kota tangerang perpanjang masa psbb hingga    juli  ,https://twitter.com/tempodotco/status/1277745927512440833,"[('kota', 'n'), ('tangerang', 'n'), ('perpanjang', 'n'), ('psbb', 'n'), ('juli', 'n')]"
1593473308000.0,2020-06-30 06:28:28,1181691745798516736,whousyourmommy,мrƒ, sampe kapan sih coronya  coba tanya bos dong  gmn sih hahaha payah banget  masih psbb gak disana ,https://twitter.com/whousyourmommy/status/1277745781659676673,"[('sampe', 'n'), ('sih', 'n'), ('coronya', 'n'), ('coba', 'n'), ('bos', 'n'), ('gmn', 'n'), ('sih', 'n'), ('hahaha', 'n'), ('payah', 'n'), ('banget', 'n'), ('psbb', 'n'), ('gak', 'n'), ('disana', 'n')]"
1593473240000.0,2020-06-30 06:27:20,482481262,OFFICIALsilviii,🌙, lah    triliun masih dibelanjakan   persen atau     m  kalo misal nih sebulan awal covid pemerintah menggaji     jt jiwa   jt  umr tertinggi   it sekian  itu cuman       m  jadi psbb atau lockdown bener  berjalan para orangtua gaperlu kerja keluar  para bos gaperlu gaji pekerja ,https://twitter.com/OFFICIALsilviii/status/1277745498623930368,"[('triliun', 'n'), ('dibelanjakan', 'n'), ('persen', 'n'), ('m', 'n'), ('kalo', 'n'), ('nih', None), ('sebulan', 'n'), ('covid', 'n'), ('pemerintah', 'n'), ('menggaji', 'n'), ('jt', 'n'), ('jiwa', 'n'), ('jt', 'n'), ('umr', None), ('tertinggi', 'n'), ('it', None), ('sekian', None), ('cuman', 'n'), ('m', 'n'), ('psbb', 'n'), ('lockdown', None), ('bener', 'n'), ('berjalan', 'n'), ('orangtua', None), ('gaperlu', 'n'), ('kerja', 'n'), ('bos', 'n'), ('gaperlu', 'n'), ('gaji', 'n'), ('pekerja', 'n')]"
1593473073000.0,2020-06-30 06:24:33,984071521399332864,Vivittts,Vivit™,  susah juga sih ya  perasaan surabaya memberlakukan psbb nya cuma sebentar,https://twitter.com/Vivittts/status/1277744795419459586,"[('susah', 'n'), ('sih', 'n'), ('ya', 'n'), ('perasaan', 'n'), ('surabaya', 'n'), ('memberlakukan', 'n'), ('psbb', 'n'), ('nya', None), ('sebentar', 'n')]"
1593472971000.0,2020-06-30 06:22:51,110069952,coleggsy,—,psbb  pembatasan sosial because babi,https://twitter.com/coleggsy/status/1277744370456776704,"[('psbb', 'n'), ('pembatasan', None), ('sosial', None), ('because', None), ('babi', 'n')]"
1593472922000.0,2020-06-30 06:22:02,23343960,kompascom,Kompas.com,nekat nyanyi di acara khitanan  rhoma irama dengan bupati bogor ade yasin  ade anggap rhoma melanggar perbup soal psbb proposional di kabupaten bogor   ,https://twitter.com/kompascom/status/1277744162100535297,"[('nekat', 'r'), ('nyanyi', None), ('acara', 'n'), ('khitanan', 'n'), ('rhoma', 'n'), ('irama', 'n'), ('bupati', 'v'), ('bogor', None), ('ade', 'n'), ('yasin', 'n'), ('ade', 'v'), ('anggap', None), ('rhoma', 'n'), ('melanggar', 'n'), ('perbup', 'n'), ('psbb', 'v'), ('proposional', None), ('kabupaten', 'n'), ('bogor', 'v')]"
1593472899000.0,2020-06-30 06:21:39,1203210158991540224,himagizi,HIMAGIZI FEMA IPB, himagiziedu  did you know  setelah diberlakukannya masa psbb  akhirnya pemerintah memberikan kebijakan yaitu new normal atau normal baru  kebijakan tersebut merupakan masa dimana orang  dapat beraktifitas seperti biasanya namun tetap memperhatikan protokol kesehatan yang ketat   ,https://twitter.com/himagizi/status/1277744065258254336,"[('himagiziedu', 'n'), ('did', 'v'), ('you', None), ('know', 'v'), ('diberlakukannya', 'n'), ('psbb', 'n'), ('pemerintah', 'n'), ('kebijakan', 'v'), ('new', None), ('normal', None), ('normal', None), ('kebijakan', 'n'), ('dimana', 'n'), ('orang', 'n'), ('beraktifitas', 'n'), ('memperhatikan', 'n'), ('protokol', 'n'), ('kesehatan', 'n'), ('ketat', 'n')]"
1593472892000.0,2020-06-30 06:21:32,1171077410155950080,7UNGHOON,DONO.,terakhir mimpi kemaren ke bekasi sepi banget nengok kanan kiri sepi padahal siang siang  beberapa bulan kemudian ada konoha dan psbb ,https://twitter.com/7UNGHOON/status/1277744035839438848,"[('mimpi', 'n'), ('kemaren', 'n'), ('bekasi', None), ('sepi', 'n'), ('banget', 'n'), ('nengok', None), ('kanan', 'n'), ('kiri', 'n'), ('sepi', 'n'), ('siang', 'n'), ('siang', 'v'), ('konoha', 'n'), ('psbb', 'n')]"
1593472878000.0,2020-06-30 06:21:18,92187051,inrachma,ImaNRachma 🇮🇩#YNWA, dia ga bermaksud ganti  cuma budeg aja  kuping sejak psbb blm dibersihin,https://twitter.com/inrachma/status/1277743977123344384,"[('ga', 'n'), ('ganti', 'n'), ('budeg', 'n'), ('aja', 'n'), ('kuping', 'v'), ('psbb', 'n'), ('blm', 'n'), ('dibersihin', 'n')]"
1593472757000.0,2020-06-30 06:19:17,1433070205,audiaqsha,InfinitySideChick, psbb pang tarakhirna zona hijau pang heula na,https://twitter.com/audiaqsha/status/1277743469075632129,"[('psbb', 'n'), ('pang', 'n'), ('tarakhirna', 'n'), ('zona', 'n'), ('hijau', 'n'), ('pang', 'n'), ('heula', 'n'), ('na', 'n')]"
1593471437000.0,2020-06-30 05:57:17,486643757,HariSofiyant,Sebut saja, colmek jalur psbb,https://twitter.com/HariSofiyant/status/1277737936314757121,"[('colmek', 'n'), ('jalur', 'n'), ('psbb', 'n')]"
1593471106000.0,2020-06-30 05:51:46,190325331,radarsampit,Radar Sampit,pemkot harus tegas mengawal psbb palangka raya     ,https://twitter.com/radarsampit/status/1277736546720837632,"[('pemkot', 'n'), ('mengawal', 'n'), ('psbb', 'n'), ('palangka', 'n'), ('raya', 'n')]"
1593471003000.0,2020-06-30 05:50:03,1312564136,forddyce92,Fordyce,langgar psbb  polisi proses hukum rhoma irama setelah tampil di pamijahan bogor    ,https://twitter.com/forddyce92/status/1277736113390510080,"[('langgar', 'n'), ('psbb', 'n'), ('polisi', 'n'), ('proses', 'v'), ('hukum', None), ('rhoma', 'n'), ('irama', 'n'), ('tampil', 'n'), ('pamijahan', 'n'), ('bogor', 'n')]"
1593470636000.0,2020-06-30 05:43:56,226481275,gojekindonesia,Gojek Indonesia, hai kak  mohon maaf sebelumnya  sehubungan dengan pembatasan sosial berskala besar  psbb  untuk saat ini layanan goride dan gocar  l  tidak dapat digunakan  namun  kamu masih bisa menggunakan layanan transportasi lainnya yakni gocar dan gobluebird ya  tks ygb,https://twitter.com/gojekindonesia/status/1277734576375443459,"[('hai', 'n'), ('kak', 'n'), ('mohon', 'n'), ('maaf', 'n'), ('sehubungan', None), ('pembatasan', None), ('sosial', None), ('berskala', 'n'), ('psbb', 'n'), ('layanan', 'n'), ('goride', 'n'), ('gocar', 'n'), ('l', 'n'), ('layanan', 'n'), ('transportasi', 'n'), ('gocar', 'n'), ('gobluebird', 'n'), ('ya', 'n'), ('tks', 'n'), ('ygb', 'n')]"
1593470293000.0,2020-06-30 05:38:13,4037822354,wel88024085,wel,  apa psbb ga berlaku buat yg punya uang     giliran ngumpul diwarteg  orang diurak  wkwkwk   payah,https://twitter.com/wel88024085/status/1277733138127441922,"[('psbb', 'n'), ('ga', 'n'), ('berlaku', 'n'), ('yg', 'n'), ('uang', None), ('giliran', 'n'), ('ngumpul', 'n'), ('diwarteg', 'n'), ('orang', 'n'), ('diurak', 'n'), ('wkwkwk', 'n'), ('payah', 'n')]"
1593470222000.0,2020-06-30 05:37:02,1242737322371608583,FarilLava,laparil, gara gara psbb,https://twitter.com/FarilLava/status/1277732838113071104,"[('gara', 'n'), ('gara', 'n'), ('psbb', 'n')]"
1593470063000.0,2020-06-30 05:34:23,1271026230351949830,PPSBojongsoang,PPS DESA BOJONGSOANG,posted with dittorepost     temanpemilih psbb di jawa barat telah berakhir dan tidak diperpanjang kembali  namun bukan berarti pandemi covid    telah berlalu  kita harus tetap disiplin dengan   ,https://twitter.com/PPSBojongsoang/status/1277732173165068290,"[('posted', 'v'), ('with', None), ('dittorepost', 'n'), ('temanpemilih', 'n'), ('psbb', 'n'), ('jawa', 'n'), ('barat', 'n'), ('diperpanjang', 'n'), ('pandemi', 'n'), ('covid', 'n'), ('disiplin', 'n')]"
1593469668000.0,2020-06-30 05:27:48,88567927,djody2010,jarot djody,siapa suruh buka psbb   ,https://twitter.com/djody2010/status/1277730516041469952,"[('suruh', 'n'), ('buka', 'n'), ('psbb', 'n')]"
1593469568000.0,2020-06-30 05:26:08,104065886,katalogpromosi,katalogpromosi,ini dia nih paket psbb terbaru      dari burger king  khusus pemesanan via gofood yah   buruan cek paket lengkapnya di sini    ,https://twitter.com/katalogpromosi/status/1277730097236185090,"[('nih', 'n'), ('paket', 'n'), ('psbb', 'n'), ('terbaru', 'n'), ('burger', 'n'), ('king', 'v'), ('khusus', 'n'), ('pemesanan', 'n'), ('via', None), ('gofood', 'n'), ('yah', 'n'), ('buruan', None), ('cek', 'n'), ('paket', 'n'), ('lengkapnya', 'n')]"
1593469401000.0,2020-06-30 05:23:21,239648961,ASR20_,Asep S Ramdhan,bercanda di kala psbb         pagi  pas lewat cek point liat petugas udah mulai beraksi  eh ternyata mereka mau nyebrang beli sarapan   udah respect gk jadi dong   dirumahsaja apaapaanini jokowimarah,https://twitter.com/ASR20_/status/1277729394522349568,"[('bercanda', 'n'), ('psbb', 'n'), ('pagi', 'n'), ('pas', 'n'), ('cek', 'n'), ('point', 'n'), ('liat', 'n'), ('petugas', 'n'), ('udah', None), ('beraksi', 'n'), ('eh', 'n'), ('nyebrang', 'n'), ('beli', None), ('sarapan', None), ('udah', None), ('respect', 'n'), ('gk', 'n'), ('dirumahsaja', 'n'), ('apaapaanini', 'n'), ('jokowimarah', 'n')]"
1593468876000.0,2020-06-30 05:14:36,770932452,EbenEzer170596,Eben Ezer S,psbb  ,https://twitter.com/EbenEzer170596/status/1277727191489368064,"[('psbb', 'n')]"
1593468832000.0,2020-06-30 05:13:52,1243725081706037250,clingypuci,peachyharts,temen malang   cepet si balik sini elah udh ga psbb  temen jakarta   betah banget si lo di malang balik napa si kerja sini aja  gue   bimbank sendiri bambank  ,https://twitter.com/clingypuci/status/1277727010547044363,"[('temen', 'n'), ('malang', 'v'), ('cepet', None), ('si', 'n'), ('elah', 'n'), ('udh', None), ('ga', 'n'), ('psbb', 'n'), ('temen', 'n'), ('jakarta', 'v'), ('betah', None), ('banget', 'n'), ('si', 'n'), ('lo', 'n'), ('malang', 'n'), ('napa', None), ('si', 'n'), ('kerja', 'n'), ('aja', 'n'), ('gue', 'n'), ('bimbank', 'n'), ('bambank', 'n')]"
1593468317000.0,2020-06-30 05:05:17,821667877405229058,NengahSimpen42,nengah simpen,selamat pagi  menerapkan protokol kesehatan merupakan sikap dan komitmen bersama yang harus dilakukan di masa psbb transisi  guna menyelamatkan diri sendiri dan melindungi orang lain dari penularan covid    ,https://twitter.com/NengahSimpen42/status/1277724850115579904,"[('selamat', 'n'), ('pagi', 'n'), ('menerapkan', 'n'), ('protokol', 'n'), ('kesehatan', 'v'), ('sikap', None), ('komitmen', 'n'), ('psbb', 'n'), ('transisi', 'n'), ('menyelamatkan', 'n'), ('melindungi', 'n'), ('orang', 'n'), ('penularan', 'n'), ('covid', 'n')]"
1593468316000.0,2020-06-30 05:05:16,1239683151191887873,maulana_abdill,Lukman Maulana,  yo pas  tes e akeh  arek e yo bandel e kebangetan  suroboyo psbb karo ora panggah ae rame rek,https://twitter.com/maulana_abdill/status/1277724846227505154,"[('yo', 'n'), ('pas', 'n'), ('tes', 'v'), ('e', 'v'), ('akeh', None), ('arek', 'n'), ('e', 'n'), ('yo', 'n'), ('bandel', 'n'), ('e', 'n'), ('kebangetan', 'v'), ('suroboyo', None), ('psbb', 'n'), ('karo', 'n'), ('ora', None), ('panggah', 'n'), ('ae', 'n'), ('rame', 'n'), ('rek', 'n')]"
1593468136000.0,2020-06-30 05:02:16,904310772146126848,RisaMonica8,Risa Monica,dki kumpulkan rp    juta denda pelanggar psbb     risamonica beritaterkini beritaviral beritaterupdate dinastipoker pokeronlineindonesia sedap   sedap   domino   psbb pemprovdki denda,https://twitter.com/RisaMonica8/status/1277724087402422272,"[('dki', 'n'), ('kumpulkan', 'n'), ('rp', 'n'), ('juta', 'n'), ('denda', 'n'), ('pelanggar', 'n'), ('psbb', 'n'), ('risamonica', 'n'), ('beritaterkini', None), ('beritaviral', None), ('beritaterupdate', 'n'), ('dinastipoker', 'n'), ('pokeronlineindonesia', 'n'), ('sedap', 'n'), ('sedap', 'n'), ('domino', 'n'), ('psbb', 'n'), ('pemprovdki', 'n'), ('denda', 'n')]"
1593468055000.0,2020-06-30 05:00:55,718090927382761473,Nobaperasw,Dilarang baper,    baca baca berita lagi ya bro atau lihat pemetaannya makanya bu risma udah bingung diberlakulan psbb masyarakatnya bandel,https://twitter.com/Nobaperasw/status/1277723748972429312,"[('baca', 'n'), ('baca', 'n'), ('berita', 'n'), ('ya', 'n'), ('bro', 'n'), ('lihat', None), ('pemetaannya', 'v'), ('bu', 'n'), ('risma', 'n'), ('udah', None), ('bingung', 'n'), ('diberlakulan', 'n'), ('psbb', 'v'), ('masyarakatnya', 'n'), ('bandel', 'n')]"
1593468008000.0,2020-06-30 05:00:08,104556071,PT_Transjakarta,Transportasi Jakarta,selamat pagi  menerapkan protokol kesehatan merupakan sikap dan komitmen bersama yang harus dilakukan di masa psbb transisi  guna menyelamatkan diri sendiri dan melindungi orang lain dari penularan covid    ,https://twitter.com/PT_Transjakarta/status/1277723552888655872,"[('selamat', 'n'), ('pagi', 'n'), ('menerapkan', 'n'), ('protokol', 'n'), ('kesehatan', 'v'), ('sikap', None), ('komitmen', 'n'), ('psbb', 'n'), ('transisi', 'n'), ('menyelamatkan', 'n'), ('melindungi', 'n'), ('orang', 'n'), ('penularan', 'n'), ('covid', 'n')]"
